event_time,close,sPos,sNeg,trigger
2023-10-13,1447.6286621094,0.0,0.0,1
2023-11-07,1470.0794677734,0.0,0.0,1
2023-12-11,1505.1402587891,0.0,0.0,1
2023-12-15,1553.5528564453,0.0,0.0,1
2024-01-04,1630.4490966797,0.0,0.0,1
2024-01-15,1670.306640625,0.0,0.0,1
2024-01-18,1595.1905517578,0.0,0.0,-1
2024-01-23,1425.8702392578,0.0,0.0,-1
2024-01-25,1495.3984375,0.0,0.0,1
2024-02-08,1461.0794677734,0.0,0.0,-1
2024-02-21,1500.5908203125,0.0,0.0,1
2024-02-28,1433.2878417969,0.0,0.0,-1
2024-03-01,1509.8875732422,0.0,0.0,1
2024-03-13,1486.1511230469,0.0,0.0,-1
2024-03-19,1418.3537597656,0.0,0.0,-1
2024-03-22,1495.4973144531,0.0,0.0,1
2024-04-16,1474.5794677734,0.0,0.0,-1
2024-04-30,1499.0577392578,0.0,0.0,1
2024-05-07,1436.6011962891,0.0,0.0,-1
2024-05-27,1449.0133056641,0.0,0.0,1
2024-06-03,1512.9040527344,0.0,0.0,1
2024-06-04,1376.2214355469,0.0,0.0,-1
2024-06-05,1484.4697265625,0.0,0.0,1
2024-07-02,1429.4499511719,0.0,0.0,-1
2024-07-24,1396.6500244141,0.0,0.0,-1
2024-08-07,1345.1500244141,0.0,0.0,-1
2024-08-28,1415.75,0.0,0.0,1
2024-09-16,1470.1999511719,0.0,0.0,1
2024-10-01,1409.6999511719,0.0,0.0,-1
2024-10-09,1341.5500488281,0.0,0.0,-1
2024-10-21,1308.25,0.0,0.0,-1
2024-10-25,1041.5999755859,0.0,0.0,-1
2024-11-14,1017.1500244141,0.0,0.0,-1
2024-12-20,929.450012207,0.0,0.0,-1
2025-01-02,991.3499755859,0.0,0.0,1
2025-01-10,937.5999755859,0.0,0.0,-1
2025-01-31,991.200012207,0.0,0.0,1
2025-02-05,1061.1999511719,0.0,0.0,1
2025-02-28,990.0999755859,0.0,0.0,-1
2025-03-10,900.5,0.0,0.0,-1
2025-03-11,655.950012207,0.0,0.0,-1
2025-04-02,702.450012207,0.0,0.0,1
2025-04-15,735.9000244141,0.0,0.0,1
2025-04-21,828.200012207,0.0,0.0,1
2025-05-02,856.450012207,0.0,0.0,1
2025-05-12,788.5,0.0,0.0,-1
2025-06-09,836.6500244141,0.0,0.0,1
2025-06-30,872.0999755859,0.0,0.0,1
2025-07-28,802.049987793,0.0,0.0,-1
2025-08-26,756.4000244141,0.0,0.0,-1
