event_time,close,sPos,sNeg,trigger
2023-09-15,3126.2482910156,0.0,0.0,-1
2023-09-22,3202.7263183594,0.0,0.0,1
2023-09-28,3100.5275878906,0.0,0.0,-1
2023-10-16,3043.51171875,0.0,0.0,-1
2023-10-26,2895.1037597656,0.0,0.0,-1
2023-11-06,2967.755859375,0.0,0.0,1
2023-11-15,3052.8903808594,0.0,0.0,1
2023-12-04,3129.6486816406,0.0,0.0,1
2023-12-15,3246.5737304688,0.0,0.0,1
2023-12-26,3314.6130371094,0.0,0.0,1
2024-01-08,3231.3884277344,0.0,0.0,-1
2024-01-18,3099.572265625,0.0,0.0,-1
2024-01-23,2992.6396484375,0.0,0.0,-1
2024-01-25,2889.2829589844,0.0,0.0,-1
2024-02-15,2955.2648925781,0.0,0.0,1
2024-02-26,2810.1735839844,0.0,0.0,-1
2024-03-07,2812.2309570312,0.0,0.0,1
2024-03-19,2757.9077148438,0.0,0.0,-1
2024-04-04,2859.0107421875,0.0,0.0,1
2024-04-16,2772.5048828125,0.0,0.0,-1
2024-05-02,2914.9506835938,0.0,0.0,1
2024-05-08,2785.5346679688,0.0,0.0,-1
2024-05-09,2655.0407714844,0.0,0.0,-1
2024-05-13,2820.7541503906,0.0,0.0,1
2024-05-22,2827.1223144531,0.0,0.0,1
2024-06-05,2901.5783691406,0.0,0.0,1
2024-06-25,2827.4719238281,0.0,0.0,-1
2024-07-04,2903.0935058594,0.0,0.0,1
2024-07-10,2963.9765625,0.0,0.0,1
2024-07-18,2899.7797851562,0.0,0.0,-1
2024-07-30,2972.4831542969,0.0,0.0,1
2024-07-31,3051.0227050781,0.0,0.0,1
2024-08-08,2972.8293457031,0.0,0.0,-1
2024-08-20,3069.5693359375,0.0,0.0,1
2024-08-22,3152.0659179688,0.0,0.0,1
2024-09-04,3196.6274414062,0.0,0.0,1
2024-09-11,3330.9555664062,0.0,0.0,1
2024-09-18,3239.1613769531,0.0,0.0,-1
2024-09-30,3293.021484375,0.0,0.0,1
2024-10-03,3115.169921875,0.0,0.0,-1
2024-10-04,3039.2021484375,0.0,0.0,-1
2024-10-18,2959.7229003906,0.0,0.0,-1
2024-10-24,2939.7915039062,0.0,0.0,-1
2024-11-04,2883.7058105469,0.0,0.0,-1
2024-11-08,2739.4365234375,0.0,0.0,-1
2024-11-11,2515.5395507812,0.0,0.0,-1
2024-11-21,2405.9521484375,0.0,0.0,-1
2024-11-26,2482.099609375,0.0,0.0,1
2024-12-06,2407.4880371094,0.0,0.0,-1
2024-12-18,2324.0080566406,0.0,0.0,-1
2024-12-26,2241.7172851562,0.0,0.0,-1
2025-01-02,2321.8283691406,0.0,0.0,1
2025-01-06,2246.423828125,0.0,0.0,-1
2025-01-09,2328.71484375,0.0,0.0,1
2025-01-13,2232.0563964844,0.0,0.0,-1
2025-01-31,2279.7663574219,0.0,0.0,1
2025-02-05,2254.400390625,0.0,0.0,-1
2025-02-28,2159.8229980469,0.0,0.0,-1
2025-03-06,2246.9689941406,0.0,0.0,1
2025-03-21,2279.3698730469,0.0,0.0,1
2025-04-08,2372.3125,0.0,0.0,1
2025-04-17,2445.3386230469,0.0,0.0,1
2025-05-07,2312.7619628906,0.0,0.0,-1
2025-05-14,2261.435546875,0.0,0.0,-1
2025-05-30,2238.4477539062,0.0,0.0,-1
2025-06-20,2285.6999511719,0.0,0.0,1
2025-06-27,2358.6999511719,0.0,0.0,1
2025-07-02,2419.3999023438,0.0,0.0,1
2025-07-09,2498.8999023438,0.0,0.0,1
2025-07-14,2401.6000976562,0.0,0.0,-1
2025-07-25,2336.1999511719,0.0,0.0,-1
2025-07-30,2415.8000488281,0.0,0.0,1
2025-08-06,2491.1999511719,0.0,0.0,1
2025-08-18,2587.3999023438,0.0,0.0,1
2025-08-22,2504.5,0.0,0.0,-1
