event_time,close,sPos,sNeg,trigger
2023-09-28,19523.55078125,0.0,0.0,-1
2023-10-11,19811.349609375,0.0,0.0,1
2023-10-23,19281.75,0.0,0.0,-1
2023-10-26,18857.25,0.0,0.0,-1
2023-11-03,19230.599609375,0.0,0.0,1
2023-11-15,19675.44921875,0.0,0.0,1
2023-11-29,20096.599609375,0.0,0.0,1
2023-12-04,20686.80078125,0.0,0.0,1
2023-12-14,21182.69921875,0.0,0.0,1
2023-12-27,21654.75,0.0,0.0,1
2024-01-12,21894.55078125,0.0,0.0,1
2024-01-17,21571.94921875,0.0,0.0,-1
2024-01-23,21238.80078125,0.0,0.0,-1
2024-01-29,21737.599609375,0.0,0.0,1
2024-02-06,21929.400390625,0.0,0.0,1
2024-02-16,22040.69921875,0.0,0.0,1
2024-03-01,22338.75,0.0,0.0,1
2024-03-13,21997.69921875,0.0,0.0,-1
2024-03-28,22326.900390625,0.0,0.0,1
2024-04-10,22753.80078125,0.0,0.0,1
2024-04-15,22272.5,0.0,0.0,-1
2024-04-23,22368.0,0.0,0.0,1
2024-05-09,21957.5,0.0,0.0,-1
2024-05-16,22403.849609375,0.0,0.0,1
2024-05-23,22967.650390625,0.0,0.0,1
2024-05-30,22488.650390625,0.0,0.0,-1
2024-06-03,23263.900390625,0.0,0.0,1
2024-06-04,21884.5,0.0,0.0,-1
2024-06-05,22620.349609375,0.0,0.0,1
2024-06-07,23290.150390625,0.0,0.0,1
2024-06-25,23721.30078125,0.0,0.0,1
2024-07-01,24141.94921875,0.0,0.0,1
2024-07-12,24502.150390625,0.0,0.0,1
2024-07-24,24413.5,0.0,0.0,-1
2024-07-26,24834.849609375,0.0,0.0,1
2024-08-05,24055.599609375,0.0,0.0,-1
2024-08-09,24367.5,0.0,0.0,1
2024-08-16,24541.150390625,0.0,0.0,1
2024-08-26,25010.599609375,0.0,0.0,1
2024-09-06,24852.150390625,0.0,0.0,-1
2024-09-12,25388.900390625,0.0,0.0,1
2024-09-20,25790.94921875,0.0,0.0,1
2024-09-26,26216.05078125,0.0,0.0,1
2024-09-30,25810.849609375,0.0,0.0,-1
2024-10-03,25250.099609375,0.0,0.0,-1
2024-10-07,24795.75,0.0,0.0,-1
2024-10-17,24749.849609375,0.0,0.0,-1
2024-10-22,24472.099609375,0.0,0.0,-1
2024-11-04,23995.349609375,0.0,0.0,-1
2024-11-06,24484.05078125,0.0,0.0,1
2024-11-12,23883.44921875,0.0,0.0,-1
2024-11-14,23532.69921875,0.0,0.0,-1
2024-11-22,23907.25,0.0,0.0,1
2024-11-27,24274.900390625,0.0,0.0,1
2024-11-28,23914.150390625,0.0,0.0,-1
2024-12-02,24276.05078125,0.0,0.0,1
2024-12-05,24708.400390625,0.0,0.0,1
2024-12-17,24336.0,0.0,0.0,-1
2024-12-19,23951.69921875,0.0,0.0,-1
2024-12-20,23587.5,0.0,0.0,-1
2025-01-02,24188.650390625,0.0,0.0,1
2025-01-06,23616.05078125,0.0,0.0,-1
2025-01-13,23085.94921875,0.0,0.0,-1
2025-01-27,22829.150390625,0.0,0.0,-1
2025-01-30,23249.5,0.0,0.0,1
2025-02-04,23739.25,0.0,0.0,1
2025-02-10,23381.599609375,0.0,0.0,-1
2025-02-13,23031.400390625,0.0,0.0,-1
2025-02-24,22553.349609375,0.0,0.0,-1
2025-02-28,22124.69921875,0.0,0.0,-1
2025-03-06,22544.69921875,0.0,0.0,1
2025-03-18,22834.30078125,0.0,0.0,1
2025-03-20,23190.650390625,0.0,0.0,1
2025-03-24,23658.349609375,0.0,0.0,1
2025-04-01,23165.69921875,0.0,0.0,-1
2025-04-04,22904.44921875,0.0,0.0,-1
2025-04-07,22161.599609375,0.0,0.0,-1
2025-04-08,22535.849609375,0.0,0.0,1
2025-04-11,22828.55078125,0.0,0.0,1
2025-04-15,23328.55078125,0.0,0.0,1
2025-04-17,23851.650390625,0.0,0.0,1
2025-04-23,24328.94921875,0.0,0.0,1
2025-05-05,24461.150390625,0.0,0.0,1
2025-05-09,24008.0,0.0,0.0,-1
2025-05-12,24924.69921875,0.0,0.0,1
2025-05-13,24578.349609375,0.0,0.0,-1
2025-05-15,25062.099609375,0.0,0.0,1
2025-05-20,24683.900390625,0.0,0.0,-1
2025-05-26,25001.150390625,0.0,0.0,1
2025-06-03,24542.5,0.0,0.0,-1
2025-06-06,25003.05078125,0.0,0.0,1
2025-06-13,24718.599609375,0.0,0.0,-1
2025-06-20,25112.400390625,0.0,0.0,1
2025-06-26,25549.0,0.0,0.0,1
2025-07-11,25149.849609375,0.0,0.0,-1
2025-07-25,24837.0,0.0,0.0,-1
2025-08-08,24363.30078125,0.0,0.0,-1
2025-08-18,24876.94921875,0.0,0.0,1
2025-08-26,24712.05078125,0.0,0.0,-1
2025-09-08,24773.150390625,0.0,0.0,1
2025-09-16,25239.099609375,0.0,0.0,1
