event_time,close,sPos,sNeg,trigger
2023-09-27,3397.5134277344,0.0,0.0,1
2023-10-26,3248.2248535156,0.0,0.0,-1
2023-11-06,3428.025390625,0.0,0.0,1
2023-11-15,3757.4074707031,0.0,0.0,1
2023-12-04,4081.6149902344,0.0,0.0,1
2023-12-11,3930.5688476562,0.0,0.0,-1
2023-12-20,3819.9934082031,0.0,0.0,-1
2023-12-27,4022.6904296875,0.0,0.0,1
2024-01-02,3800.5634765625,0.0,0.0,-1
2024-01-18,3603.9692382812,0.0,0.0,-1
2024-01-31,3748.9130859375,0.0,0.0,1
2024-02-27,3908.2097167969,0.0,0.0,1
2024-02-29,3702.8276367188,0.0,0.0,-1
2024-03-20,3782.1101074219,0.0,0.0,1
2024-04-05,3936.0363769531,0.0,0.0,1
2024-04-08,4106.4150390625,0.0,0.0,1
2024-04-22,4361.4462890625,0.0,0.0,1
2024-05-07,4513.2241210938,0.0,0.0,1
2024-05-14,4618.8198242188,0.0,0.0,1
2024-05-23,4738.2314453125,0.0,0.0,1
2024-06-03,4560.5302734375,0.0,0.0,-1
2024-06-04,4389.2236328125,0.0,0.0,-1
2024-06-06,4608.2749023438,0.0,0.0,1
2024-06-14,4818.5385742188,0.0,0.0,1
2024-06-25,4662.2685546875,0.0,0.0,-1
2024-07-09,4714.6518554688,0.0,0.0,1
2024-07-26,4894.1103515625,0.0,0.0,1
2024-08-02,4615.0610351562,0.0,0.0,-1
2024-08-09,4768.765625,0.0,0.0,1
2024-08-21,4850.6533203125,0.0,0.0,1
2024-09-05,4738.65625,0.0,0.0,-1
2024-09-16,4836.4877929688,0.0,0.0,1
2024-09-27,4997.7958984375,0.0,0.0,1
2024-10-03,4721.28125,0.0,0.0,-1
2024-10-17,4564.662109375,0.0,0.0,-1
2024-10-21,4748.8735351562,0.0,0.0,1
2024-10-25,4532.8251953125,0.0,0.0,-1
2024-10-29,4835.4506835938,0.0,0.0,1
2024-11-08,4723.99609375,0.0,0.0,-1
2024-11-13,4529.9624023438,0.0,0.0,-1
2024-11-14,4821.1860351562,0.0,0.0,1
2024-11-28,4754.056640625,0.0,0.0,-1
2025-01-02,5240.1533203125,0.0,0.0,1
2025-01-09,5074.1064453125,0.0,0.0,-1
2025-01-13,4875.876953125,0.0,0.0,-1
2025-01-23,5050.7099609375,0.0,0.0,1
2025-02-01,5321.1528320312,0.0,0.0,1
2025-02-11,4908.701171875,0.0,0.0,-1
2025-02-14,4643.14453125,0.0,0.0,-1
2025-02-20,4825.8256835938,0.0,0.0,1
2025-02-28,4712.4951171875,0.0,0.0,-1
2025-03-05,4924.4467773438,0.0,0.0,1
2025-03-20,5162.4116210938,0.0,0.0,1
2025-03-24,5354.7670898438,0.0,0.0,1
2025-04-04,5180.7236328125,0.0,0.0,-1
2025-04-07,5000.412109375,0.0,0.0,-1
2025-04-08,5164.3857421875,0.0,0.0,1
2025-04-15,5458.2255859375,0.0,0.0,1
2025-04-21,5736.1220703125,0.0,0.0,1
2025-04-24,5578.1704101562,0.0,0.0,-1
2025-05-02,5370.3647460938,0.0,0.0,-1
2025-05-09,5255.849609375,0.0,0.0,-1
2025-05-12,5449.3408203125,0.0,0.0,1
2025-05-28,5258.3178710938,0.0,0.0,-1
2025-06-19,5423.1801757812,0.0,0.0,1
2025-06-27,5587.548828125,0.0,0.0,1
2025-07-14,5469.5786132812,0.0,0.0,-1
2025-07-22,5369.87109375,0.0,0.0,-1
2025-08-01,5528.0,0.0,0.0,1
2025-08-05,5681.0,0.0,0.0,1
2025-08-18,5912.0,0.0,0.0,1
2025-08-26,6186.0,0.0,0.0,1
